full_address,lon,lat
"Flat 3, 6 Castle Terrace, Old Town, Edinburgh, EH1 2DP",-3.2054967,55.9486012
"Flat 10, 148 Commercial Street, North Leith, Edinburgh, EH6 6LB",-3.1796758,55.9783049
"Flat 4, 8 Porteous' Pend, Old Town, Edinburgh, EH1 2HP",-3.1970844,55.946833
"2f1, 374 Leith Walk, Edinburgh, EH7 4PE",-3.1787524,55.9633174
"1f, 1 Lennox Street, Stockbridge, Edinburgh, EH4 1QB",-3.2138838,55.9557105
"2f, 33 Drumsheugh Gardens, New Town, Edinburgh, EH3 7RN",-3.2155697,55.9513401
"3f1, 6 Montague Street, Newington, Edinburgh, EH8 9QU",-3.1807512,55.9417861
"51a Baird Road, Ratho, Newbridge, EH28 8QY",-3.3801712999999998,55.9250315
"Flat 1, 1 East Pilton Farm Avenue, Pilton, Edinburgh, EH5 2QB",-3.2291837,55.9719695
"Pf1, 21 Duff Street, Dalry, Edinburgh, EH11 2HJ",-3.2245672,55.9428517
"Pf4, 21 Duff Street, Dalry, Edinburgh, EH11 2HJ",-3.2245672,55.9428517
